Service Name;Service Link;Description;Short Description;Other Links;Date;Mini Description
Sports facilities in schools;https://www.espoo.fi/en/sports-and-nature/reservation-sports-facilities/sports-facilities-schools;Sports and Exercise Services allots time slots in sports facilities in schools.;Sports and Exercise Services allots time slots in sports facilities in schools.;"Auroran koulu /: https://www.espoo.fi/en/unit/39287; Reservation of sports facilities: https://www.espoo.fi/en/sports-and-nature/reservation-sports-facilities";13.10.2025;It allocates time slots for using school sports facilities.
Sports fields;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/sports-fields;"There are several sports fields in Espoo.

There are several sports fields in Espoo where you can practice outdoor sports both in summer and winter.";There are several sports fields in Espoo.;"Espoon Koulumäki / Athletics training area: https://www.espoo.fi/en/unit/50326; Espoonlahti sports park / Baseball field: https://www.espoo.fi/en/unit/39760; Järvenperä athletics training area: https://www.espoo.fi/en/unit/50398; Juvanpuiston koulu / Athletics training area: https://www.espoo.fi/en/unit/57379; Kauklahden urheilukenttä / Athletics field: https://www.espoo.fi/en/unit/39790; Keski-Espoo Sports Park / Athletics training area: https://www.espoo.fi/en/unit/53819; Laaksolahti sports park / Athletics field: https://www.espoo.fi/en/unit/39690; Leppävaara Sports Park / Athletics Stadium: https://www.espoo.fi/en/unit/39767; Leppävaara Sports Park artificial turf field 2: https://www.espoo.fi/en/unit/45067; Leppävaara Sports Park grass field 1: https://www.espoo.fi/en/unit/53538; Matinkylä sports park / Athletics field: https://www.espoo.fi/en/unit/39560; Metsämaa sports field / Athletics training area: https://www.espoo.fi/en/unit/50330; Olarin kenttä / Athletics training area: https://www.espoo.fi/en/unit/53632; Otaniemi sports park / Athletics field: https://www.espoo.fi/en/unit/39432; Säterinniitynkenttä / Athletics training area: https://www.espoo.fi/en/unit/53626; Tapiola Sports Park / Athletics training area: https://www.espoo.fi/en/unit/45073; Tapionkenttä / Artificial turf field: https://www.espoo.fi/en/unit/50329";13.10.2025;Espoo's outdoor sports fields provide year-round spaces for practicing outdoor sports.
Sports grants;https://www.espoo.fi/en/sports-and-nature/sports-grants;The Sports and Exercise Committee may award grants to sports clubs registered in Espoo that are members of a national sports organisation, or to any association with activities that focus primarily on sports and exercise.;The Sports and Exercise Committee may award grants to sports clubs registered in Espoo that are members of a national sports organisation, or to any association with activities that focus primarily on sports and exercise.;N/A;13.10.2025;Provides grants to Espoo-based sports clubs that are members of a national sports organisation, or to associations whose activities are primarily focused on sports and exercise.
Sports halls;https://www.espoo.fi/en/sports-and-nature/sports-halls;Kaivomestari - Keski-Espoo sports hall;Kaivomestari - Keski-Espoo sports hall;"Espoonlahti sports hall: https://www.espoo.fi/en/unit/39397; Kannusillanmäki Sports Hall: https://www.espoo.fi/en/unit/57352; Leppävaara sports hall: https://www.espoo.fi/en/unit/39719; Opinmäen koulu / Sports hall: https://www.espoo.fi/en/unit/45070; Tapiola Sports hall: https://www.espoo.fi/en/unit/39749; Tuulimäki Sports hall /air raid shelter: https://www.espoo.fi/en/unit/66832";13.10.2025;Kaivomestari provides the Keski-Espoo sports hall as a facility for sporting activities.
Sports parks;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/sports-parks;"There are seven sports parks in Espoo.

Espoo's sports parks provide excellent facilities for various sports, including football, Finnish baseball (pesäpallo), street basketball, floorball, ice skating, ice hockey, running, long jump, skateboarding, gym training and beach volleyball. You can find a list of all the sports parks below.";There are seven sports parks in Espoo.;"Espoonlahti Sports Park: https://www.espoo.fi/en/unit/50555; Keski-Espoo Sports Park: https://www.espoo.fi/en/unit/50570; Laaksolahti Sports Park: https://www.espoo.fi/en/unit/50558; Leppävaara Sports Park: https://www.espoo.fi/en/unit/50544; Matinkylä Sports Park: https://www.espoo.fi/en/unit/50548; Otaniemi Sports Park: https://www.espoo.fi/en/unit/50546; Tapiola Sports Park: https://www.espoo.fi/en/unit/50551";13.10.2025;Espoo's seven sports parks provide facilities for a wide range of sports and activities, including football, pesäpallo, street basketball, floorball, ice skating and hockey, running, long jump, skateboarding, gym training, and beach volleyball.
Start-up and investment aid;https://www.espoo.fi/en/services/start-and-investment-aid;"Start-up aid is granted for normal tenement projects, and investment aid is granted for tenement projects for special groups that are financed with interest subsidy loans

Start-up aid is granted for tenement projects financed with long 40-year interest subsidy loans. Additionally, ARA grants investment aid for tenement projects for special groups that are financed with long 40-year interest subsidy loans. Special groups include seniors who have memory disorders or are in bad condition, those in mental health rehabilitation, disabled people, the long-term homeless, young people and students.";Start-up aid is granted for normal tenement projects, and investment aid is granted for tenement projects for special groups that are financed with interest subsidy loans;Housing Services: https://www.espoo.fi/en/unit/21974;13.10.2025;Provides 40-year interest-subsidy loan financing for tenement projects, offering start-up aid for normal projects and investment aid for projects serving special groups (e.g., seniors with memory disorders, people in mental health rehabilitation, disabled people, the long-term homeless, youth and students).
Start-up grant;https://www.espoo.fi/en/services/start-grant;"The start-up grant secures your livelihood during the establishment and consolidation stage of your business.

The start-up grant is discretionary support for a new entrepreneur. Its purpose is to secure an entrepreneur's livelihood at the starting phase of new full-time entrepreneurship when the income generated by the company is still low.

The start-up grant is granted for six months from the time you start as a full-time entrepreneur or expand your part-time business to full time. You may receive an extension to the start-up grant so that the total duration is no more than 12 months.

The start-up grant is equal in amount to a basic unemployment allowance. The start-up grant is paid for five days per calendar week.";The start-up grant secures your livelihood during the establishment and consolidation stage of your business.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;The Start-up grant provides discretionary financial support to new full-time entrepreneurs to secure their livelihood during the startup phase, offering payments equal to the basic unemployment allowance for up to six months (extendable to a total of 12 months) and paid five days per week.
Storage of boats;https://www.espoo.fi/en/sports-and-nature/boating/storage-boats;"In the city-administered marinas and in Ämmässuo, Sports Services takes care of the winter storage areas of boats together with the boating clubs operating there.

Winter storage in the marinas 15.9.-10.6.
Storage of boats in Ämmäsmäki 15.9.-14.9.";In the city-administered marinas and in Ämmässuo, Sports Services takes care of the winter storage areas of boats together with the boating clubs operating there.;Espoo's boat space reservation: https://varaukset.espoo.fi/;13.10.2025;Sports Services coordinates winter boat storage at the city-operated marinas and in Ämmässuo, in partnership with local boating clubs.
Stray animals;https://www.espoo.fi/en/sports-and-nature/animals/stray-animals;Stray animals refer to dogs, cats and other small pets found and captured within the boundaries of the municipality. Stray animals found in Espoo, Kauniainen and Kirkkonummi are cared for at the Viikki animal shelter in Helsinki.;Stray animals found in Espoo, Kauniainen and Kirkkonummi are cared for at the Viikki animal shelter in Helsinki.;"City of Espoo veterinarians' office: https://www.espoo.fi/en/unit/64065; City of Espoo veterinarians: https://www.espoo.fi/en/sports-and-nature/animals/city-espoo-veterinarians; Import and export of animals: https://www.espoo.fi/en/sports-and-nature/animals/import-and-export-animals; Animal welfare: https://www.espoo.fi/en/sports-and-nature/elaimet/animal-welfare";13.10.2025;It provides care for stray dogs, cats, and other small pets found within the municipality, with those from Espoo, Kauniainen, and Kirkkonummi taken to the Viikki Animal Shelter in Helsinki.
Street maintenance;https://www.espoo.fi/en/services/street-maintenance;The Urban Environment Sector maintains the street and road network of Espoo with the exception of motorways, ring roads and other public roads maintained by Centre for Economic Development, Transport and the Environment and private roads maintained by road maintenance associations.;The Urban Environment Sector maintains the street and road network of Espoo with the exception of motorways, ring roads and other public roads maintained by Centre for Economic Development, Transport and the Environment and private roads maintained by road maintenance associations.;"Maintenance of streets, walking and cycling network: https://www.espoo.fi/en/transport-and-streets/street-maintenance; Give feedback: Streets and traffic: https://easiointi.espoo.fi/eFeedback/en/Feedback/6-Streets%20and%20traffic; Urban Environment Customer Service: https://www.espoo.fi/en/units/63749; Report a problem: https://easiointi.espoo.fi/eFeedback/en/Feedback/31-Felanm%C3%A4lan";13.10.2025;Maintaining Espoo's street and road network, excluding motorways, ring roads, and roads managed by the Centre for Economic Development, Transport and the Environment or by private road maintenance associations.
Street or park area project;https://www.espoo.fi/en/services/street-or-park-area-project;Earthworks, tree-felling or corresponding action altering the landscape may not be carried out without a permit in town plan area and areas where there is a building prohibition to prepare a town plan or where the permit has been determined as mandatory to prepare or change a master plan. The operations also require a permit in the master plan and detailed shore plan areas, if the plan so dictates. A person carrying out earthworks, tree-felling or corresponding action altering the landscape is always responsible for ensuring that the necessary permits exist for the action. Application forms with instructions are available at the Environment and Technical Services customer service, they can be printed from the City of Espoo website, or the application can be submitted electronically through the electronic service for construction and land use. More detailed instructions can be found on the website of the City of Espoo.;Earthworks, tree-felling or corresponding action altering the landscape may not be carried out without a permit in town plan area and areas where there is a building prohibition to prepare a town plan or where the permit has been determined as mandatory to prepare or change a master plan. The operations also require a permit in the master plan and detailed shore plan areas, if the plan so dictates.;"City Planning Department: https://www.espoo.fi/en/unit/21969; Espoo Building Control: https://www.espoo.fi/en/unit/21970; Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749";13.10.2025;Provides permits for earthworks, tree-felling, or other landscape-altering actions in designated planning areas (town plan, master plan, and shore plan areas), with available application forms and electronic submission options.
Subsidy for arranging working conditions;https://www.espoo.fi/en/services/subsidy-arranging-working-conditions;"You can apply for a subsidy for arranging working conditions if your employee's disability or illness requires new tools or alterations at work.


As an employer, you can receive support for arranging working conditions if the disability or illness of a person you are going to employ or who is already employed by you requires
- new tools or furniture
- alterations to be made at the workplace or
- assistance provided by another employee.

The subsidy improves the chances of people with demand-specific work ability to find suitable employment or to keep their job in the open labour market.";"You can apply for a subsidy for arranging working conditions if your employee's disability or illness requires new tools or alterations at work.
";"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;An employer subsidy to modify or equip the workplace—with tools, furniture, alterations, or assistance—to accommodate an employee’s disability or illness and improve their chances of finding or keeping employment.
Sunday excursions for the whole family at Villa Elfvik;https://www.espoo.fi/en/sports-and-nature/explore-nature/nature-house-villa-elfvik/sunday-excursions-whole-family-villa-elfvik;"The excursions are active family outings progressing on the children's terms.

The excursions with different themes start outside the Nature House at 10.30 am each Sunday from June to September.";The excursions are active family outings progressing on the children's terms.;Nature House Villa Elfvik: https://www.espoo.fi/en/unit/27540;13.10.2025;Villa Elfvik's Sunday family excursions are active, theme-based outings for children and their families, starting outside the Nature House at 10:30 am each Sunday from June to September.
Support for the activities of youth groups and organisations;https://www.espoo.fi/en/services/support-activities-youth-groups-and-organisations;"The Youth Services promotes the operation of youth organisations and groups in the city and the means of young people to participate in society.

Youth organisations and activity groups are supported by grants awarded by the committee, premises that can be booked from the Youth Services and camp equipment lending services.";The Youth Services promotes the operation of youth organisations and groups in the city and the means of young people to participate in society.;Youth Services: https://www.espoo.fi/en/unit/20046;13.10.2025;Provides grants, access to premises, and camp equipment lending to support youth groups and promote youth participation in the community.
Sustainable Development in Espoo brochure;https://www.espoo.fi/en/services/sustainable-development-espoo-brochure;"The city's annual review describing ecological sustainability.

The annually-published brochure describes the progress of ecologically sustainable development and the city's environmental objectives in Espoo. The brochure is published annually in Finnish and English.";The city's annual review describing ecological sustainability.;Environmental protection services: https://www.espoo.fi/en/unit/66794;13.10.2025;An annual bilingual brochure outlining Espoo's ecologically sustainable development progress and the city's environmental objectives.
Swimming areas;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/uimapaikat/swimming-areas;"Espoo has 17 unsupervised swimming areas. 


Espoo has 17 unsupervised swimming areas. The swimming areas are located on the shores of lakes and the sea and in the recreation islands. They include dressing rooms / beach huts and a toilet/dry closet.";"Espoo has 17 unsupervised swimming areas. 
";"Iso Vasikkasaari beach: https://www.espoo.fi/en/unit/50549; Iso Vasikkasaari beach (South): https://www.espoo.fi/en/unit/53476; Kallvik beach: https://www.espoo.fi/en/unit/39881; Karhusaari beach: https://www.espoo.fi/en/unit/39667; Kattilajärvi beach: https://www.espoo.fi/en/unit/39368; Lippajärvi beach: https://www.espoo.fi/en/unit/39823; Myllyjärvi swimming area (north): https://www.espoo.fi/en/unit/39902; Odilampi beach: https://www.espoo.fi/en/unit/39606; Rövaren beach: https://www.espoo.fi/en/unit/52958; Ruispelto beach (Pitkäjärvi): https://www.espoo.fi/en/unit/53461; Siikajärvi beach: https://www.espoo.fi/en/unit/39412; Sorvalampi beach: https://www.espoo.fi/en/unit/39875; Stora Herrö beach: https://www.espoo.fi/en/unit/52960; Svinö beach (Suvisaaristo): https://www.espoo.fi/en/unit/39846; Toppelund beach: https://www.espoo.fi/en/unit/39784; Tyrskyvuori beach (Laurinlahti): https://www.espoo.fi/en/unit/39897";13.10.2025;Espoo provides 17 unsupervised swimming areas located on lake and sea shores and recreation islands, equipped with dressing rooms, beach huts, and toilets.
Swimming pools;https://www.espoo.fi/en/sports-and-nature/indoor-sports-facilities/swimming-pools;"There are five indoor swimming pools in Espoo.

In addition to swimming, the swimming pools offer many other recreational services.";There are five indoor swimming pools in Espoo.;N/A;13.10.2025;Five indoor swimming pools in Espoo offer swimming and a range of other recreational services.
Temporary traffic arrangements;https://www.espoo.fi/en/services/temporary-traffic-arrangements;"The plan for temporary traffic arrangements is appended to the application for a street work permit when the work affects the use of the traffic area.

Temporary traffic arrangements refer to work on a street or other public area affecting parking arrangements or pedestrian, bicycle, or motor vehicle traffic. 

A permit is always required for temporary traffic arrangements in the City of Espoo's streets and public areas. The permit is fixed-term and subject to a fee.";The plan for temporary traffic arrangements is appended to the application for a street work permit when the work affects the use of the traffic area.;"Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749; More about temporary traffic arrangements: https://www.espoo.fi/en/temporary-traffic-arrangements; ePermit (only in Finnish and Swedish) : https://easiointi.espoo.fi/ePermit/fi/Account?ReturnUrl=%2FePermit%2Ffi%2FPermitApplicant; Use of public areas, temporary traffic arrangements and roadworks: Regulations and guidelines for the capital region 2025 (available in Finnish only): https://kuntatekniikka.fi/wp-content/uploads/2025/04/32694094_PKS_A5-ohje_web-2025.pdf";13.10.2025;This service issues a fixed-term permit to authorize temporary traffic arrangements—such as changes to parking and pedestrian, bicycle, or motor vehicle traffic—during street works in Espoo.
Tennis courts;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/tennis-courts;The city of Espoo's outdoor tennis courts are located in the Tapiola, Espoonlahti, Otaniemi and Leppävaara sports parks and in the Puolarmaari outdoor recreation centre. You can book a slot at the tennis courts at a affordable price. The Puolarmaari outdoor recreation centre also has another outdoor tennis court where you can play without a reserved slot. You also do not need to book a slot at the Säterinniittynkenttä outdoor tennis court.;The city of Espoo's outdoor tennis courts are located in the Tapiola, Espoonlahti, Otaniemi and Leppävaara sports parks and in the Puolarmaari outdoor recreation centre. You can book a slot at the tennis courts at a affordable price. The Puolarmaari outdoor recreation centre also has another outdoor tennis court where you can play without a reserved slot. You also do not need to book a slot at the Säterinniittynkenttä outdoor tennis court.;"Espoonlahti Sports Park / Tennis courts (outdoors): https://www.espoo.fi/en/unit/72665; Leppävaara Sports Park tennis court 1: https://www.espoo.fi/en/unit/78370; Leppävaara Sports Park tennis court 2: https://www.espoo.fi/en/unit/78368; Puolarmaari tennis court (outside): https://www.espoo.fi/en/unit/63114; Säterinniitynkenttä / Tennis court: https://www.espoo.fi/en/unit/68868";13.10.2025;Espoo's outdoor tennis courts across several parks offer affordable booking slots, with some courts available for walk-in play without a reservation.
Terrain marking for a building;https://www.espoo.fi/en/services/terrain-marking-building;"In Espoo, the city survey services of the Public Works Department are responsible for building control measurements. From the city survey services, you can order, for example, a building permit map needed as an appendix to the building permit, boundary demonstrations of properties and plots, elevation demonstrations of plots and buildings, terrain markings of buildings and structures as well as building location reviews.

The terrain marking for a building site or equivalent is carried out based on the customer's order after the building permit has been granted.";In Espoo, the city survey services of the Public Works Department are responsible for building control measurements. From the city survey services, you can order, for example, a building permit map needed as an appendix to the building permit, boundary demonstrations of properties and plots, elevation demonstrations of plots and buildings, terrain markings of buildings and structures as well as building location reviews.;City Surveying services: https://www.espoo.fi/en/unit/21972;13.10.2025;This service performs terrain marking for a building site after a building permit is granted, including marking boundaries, elevations, and building locations as ordered.
The Baltic Sea Challenge;https://www.espoo.fi/en/services/baltic-sea-challenge;"The Baltic Sea Challenge is a network initiative that invites organisations to commit to protecting the Baltic Sea, building their own Baltic Sea Action Plan and implementing it.

The Baltic Sea Challenge is a free service for all organisations that want to work for the protection of waters. 

The Baltic Sea Challenge includes more than 200 partners: cities, companies, educational institutions, civic organisations, interest groups, local authorities and national research institutes from Finland and other Baltic Sea nations. 

The City of Espoo, together with the cities of Helsinki and Turku, offers the organisations committing to the Baltic Sea Challenge: 

- Support and tips for planning their own water protection activities
- Networking and visibility
- Regional, national and international events
- Possibilities to implement joint independent projects";The Baltic Sea Challenge is a network initiative that invites organisations to commit to protecting the Baltic Sea, building their own Baltic Sea Action Plan and implementing it.;Environmental protection services: https://www.espoo.fi/en/unit/66794;13.10.2025;The Baltic Sea Challenge is a free network that invites organizations to commit to protecting the Baltic Sea by developing and implementing their own Baltic Sea Action Plan, with support, networking, events, and opportunities for joint projects.
The City of Espoo Archives Customer Service;https://www.espoo.fi/en/services/city-espoo-archives-customer-service;"The City of Espoo Archives files the city's documents which are to be preserved long-term and permanently and provides information regarding the material in the archives

The City Archives stores documents on operations of the City of Espoo which are to be preserved long-term and permanently. The City Archives also accepts local area archives and archives from private persons, for example communities in Espoo.
Public documents can be studied in the City Archives facilities and copies of them can be requested on site, by mail or by email. We respond to information requests as soon as possible and latest within a given period in accordance with the Act on the Openness of Government Activities. When information requests concern classified documents, we verify the right of access of the person making the request. 
Documents can be requested from the City Archives:
by email kaupunginarkisto@espoo.fi 
by phone 09 8165 3000
by mail at the City of Espoo Archives, P.O. Box 1, 02070 City of Espoo
or visit us at Siltakatu 11, shopping centre Entresse, 3rd floor, 02770 Espoo.";The City of Espoo Archives files the city's documents which are to be preserved long-term and permanently and provides information regarding the material in the archives;"The City Archives: https://www.espoo.fi/en/unit/22409; The City Archives: https://www.espoo.fi/en/city-archives";13.10.2025;The City of Espoo Archives Customer Service preserves the City’s records for long-term access, accepts external and private archives, and facilitates access to public documents while handling information requests via on-site visits, email, phone, or mail.
The Espoo Building Control Department;https://www.espoo.fi/en/services/espoo-building-control-department-0;"The services of Building Control include decisions on building and operation permits and the preceding planning-stage negotiations, construction site reviews, continuous monitoring of the condition of plots and buildings, archival of building permit documents and customer guidance.

The services of Building Control include decisions on building and operation permits and the preceding planning-stage negotiations, construction site reviews, continuous monitoring of the condition of properties and buildings, establishing building easements, legal counselling in construction matters, archival of building permit documents and customer guidance.";The services of Building Control include decisions on building and operation permits and the preceding planning-stage negotiations, construction site reviews, continuous monitoring of the condition of plots and buildings, archival of building permit documents and customer guidance.;Espoo Building Control: https://www.espoo.fi/en/unit/21970;13.10.2025;The Espoo Building Control Department processes building and operation permits, conducts planning-stage negotiations, performs site inspections, monitors property conditions, maintains permit archives, and provides customer guidance and legal counsel on construction matters, including establishing building easements.
Tourist information;https://www.espoo.fi/en/services/tourist-information;"Tourist information is available at Visit Espoo webpages and Citizen's Offices in Espoo. https://www.visitespoo.fi/en/ and info@espoo.fi

The Citizen's Offices provide free information about tourism, attractions, events and services. In addition to brochures and maps, Citizen's Offices provide tips and ideas for leisure time and holidays. 
";"Tourist information is available at Visit Espoo webpages and Citizen's Offices in Espoo. https://www.visitespoo.fi/en/ and info@espoo.fi
";"Espoo info Service Point Kalajärvi: https://www.espoo.fi/en/unit/53545; Espoo info Service Point Leppävaara: https://www.espoo.fi/en/unit/53542; Espoo info Service Point Matinkylä: https://www.espoo.fi/en/unit/53503; Visitespoo: http://www.visitespoo.fi/en";13.10.2025;Provides free information about Espoo’s tourism, attractions, events, and services via the Visit Espoo website and Espoo’s Citizen's Offices, including brochures, maps, and leisure-time tips.
Traffic planning;https://www.espoo.fi/en/services/traffic-planning;"Traffic planning is part of the land use planning carried out in conjunction with master and town planning. When town planning is complete, traffic planning continues in more detail together with street planning.

Tasks of traffic planning:- Regional traffic planning that indicates the transport connections and spatial requirements of areas with a town plan in addition to further clarifying the interaction between transport, land use and the environment- Public transport planning as part of town planning in order to ensure that the operational prerequisites of public transport are fulfilled and improved through planning- General traffic planning to create the general guidelines for traffic in Espoo by, for example, participating in the general planning of transport routes in Espoo and the Helsinki Metropolitan Area- Traffic surveys that provide, for example, up-to-date information about the load of the transport network, the development of traffic volumes, the composition of traffic, driving speeds and parking 

Further information about traffic planning can be found at http://www.espoo.fi/en-US/Housing_and_environment/Streets_and_Transport/Traffic_plannig";Traffic planning is part of the land use planning carried out in conjunction with master and town planning. When town planning is complete, traffic planning continues in more detail together with street planning.;City Planning Department: https://www.espoo.fi/en/unit/21969;13.10.2025;Traffic planning coordinates transport and land use planning in Espoo, working with master and town planning to develop regional and public transport, set general traffic guidelines, and conduct surveys to monitor and improve the transport network.
Traffic signs, defect notices and initiatives;https://www.espoo.fi/en/services/traffic-signs-defect-notices-and-initiatives;"A defect notice of a missing or broken traffic sign and an initiative to place a traffic sign.

Missing or broken traffic signs can be reported with the city's feedback form. The feedback is directed to the Urban Environment Customer service. 

Initiatives to place traffic signs are submitted to the city Registry Office. The initiatives are processed in the traffic management unit of the Public Works Department.";A defect notice of a missing or broken traffic sign and an initiative to place a traffic sign.;"Give Feedback: https://easiointi.espoo.fi/eFeedback/en; Registry Office: https://www.espoo.fi/en/registry-office; Urban Environment Customer Service: https://www.espoo.fi/en/units/63749";13.10.2025;This service enables residents to report missing or broken traffic signs and to submit initiatives to place new signs, with defect reports sent to the Urban Environment Customer Service and sign-placement proposals processed by the Public Works Department's Traffic Management unit via the Registry Office.
Training and coaching for entrepreneurs;https://www.espoo.fi/en/services/training-and-coaching-entrepreneurs;"The training and coaching programmes for entrepreneurs provide you with a comprehensive idea of what an entrepreneur's daily life is like.


The training and coaching programmes for entrepreneurs provide you with a comprehensive idea of what an entrepreneur's daily life is like. Training can be provided to those planning entrepreneurship, as well as start-ups and already operating businesses.

The programmes encourage new entrepreneurs to plan their business carefully and develop it. They will give you the courage and confidence you need to start your business.";"The training and coaching programmes for entrepreneurs provide you with a comprehensive idea of what an entrepreneur's daily life is like.
";"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;A training and coaching program for aspiring, start-up, and existing entrepreneurs that outlines the daily life of an entrepreneur, helps plan and develop a business, and builds the courage and confidence to start and grow.
Training trial;https://www.espoo.fi/en/services/training-trial;"In the training trial, you can familiarise yourself with the studies at an educational institution and find out whether the field is suitable for you.

You can use the training trial to explore career choices and career options. The purpose of the trial is to determine whether the field and training are suitable for you. The training trial is organised at an educational institution and is planned individually according to your needs.

The training trial is agreed upon in the employment plan or other equivalent plan.

You will receive the same unemployment benefits during training trial as you do while you are unemployed. If you have agreed to a training trial in your employment plan or another plan replacing it, your unemployment security can be increased. This will be decided by the party paying the unemployment benefit - that is, by the unemployment fund or Kela. 

If the costs of participating in the training trial are incurred, you can receive expense allowance for the days of participation. If you do not receive expense allowance from the payer of the unemployment benefit, that is, an unemployment fund or Kela, the Employment services can pay a discretionary expense allowance.";In the training trial, you can familiarise yourself with the studies at an educational institution and find out whether the field is suitable for you.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;An institution-based trial that lets unemployed individuals sample studies and explore career options to determine the suitability of a field and its training, with continued unemployment benefits and potential expense allowances.
Urban Environment Customer Service;https://www.espoo.fi/en/services/urban-environment-customer-service;"Customer Service advises on matters relating to general areas. We respond to customer feedback through the feedback system and by phone.

You will find our electronic services on the E-services page or use Trimble Feedback Web Application.

";Customer Service advises on matters relating to general areas.;"Feedback service: https://easiointi.espoo.fi/eFeedback/en; Urban Environment Customer Service : https://www.espoo.fi/en/units/63749; Cable and pipe information service: https://www.espoo.fi/en/services/cable-and-pipe-information-service; City Surveying: https://www.espoo.fi/en/city-surveying; The Environment and Building Control Department, Building Control  : https://www.espoo.fi/en/housing-and-building/building/building-control; The Environment and Building Control Department, Environmental protection: https://www.espoo.fi/en/housing-and-building/environmental-protection; The Environment and Building Control Department, Espoo Region Environmental Health Services: https://www.espoo.fi/en/housing-and-building/espoo-region-environmental-health-services";13.10.2025;Urban Environment Customer Service provides guidance on general-area matters and handles customer feedback by phone or online, with access to e-services via the E-services page or the Trimble Feedback Web Application.
Use of school facilities;https://www.espoo.fi/en/services/use-school-facilities;Associations, organisations, communities, businesses and individuals can apply for the use of sports, assembly or classroom facilities of schools and educational institutions during evenings and weekends.;Associations, organisations, communities, businesses and individuals can apply for the use of sports, assembly or classroom facilities of schools and educational institutions during evenings and weekends.;"Sports facilities in schools: https://www.espoo.fi/en/sports-and-nature/reservation-sports-facilities/sports-facilities-schools; Reservation of school facilities: https://www.espoo.fi/sv/idrott-motion-och-natur/bokning-av-idrottslokaler/skolornas-idrottslokaler";13.10.2025;This service allows associations, organisations, communities, businesses and individuals to reserve school facilities—such as sports halls, assembly halls, and classrooms—for use during evenings and weekends.
Vocational guidance and career planning;https://www.espoo.fi/en/services/vocational-guidance-and-career-planning;"Vocational guidance and career planning help you assess your vocational, education or work options.

In vocational guidance and career planning, you discuss the choice of profession, professional development, placement in the world of work and lifelong learning confidentially with a counsellor.

A licensed psychologist may also, with your consent, use psychological assessment methods to examine professional and career options, competence, suitability and work and functional capacity.";Vocational guidance and career planning help you assess your vocational, education or work options.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;Confidential vocational guidance and career planning to help you assess options, choose a profession, and plan your career and lifelong learning, with optional psychological assessment by a licensed psychologist with your consent.
Waste management and recycling in Espoo;https://www.espoo.fi/en/services/waste-management-and-recycling-espoo;Waste collection and management in Espoo is provided by the Helsinki Region Environmental Services Authority. It provides waste collection, waste treatment and places for the collection of hazardous waste;Waste collection and management in Espoo is provided by the Helsinki Region Environmental Services Authority. It provides waste collection, waste treatment and places for the collection of hazardous waste;Environmental protection services: https://www.espoo.fi/en/unit/66794;13.10.2025;This service provides waste collection, treatment, and hazardous-waste drop-off facilities for Espoo.
Waste management guidance and supervision;https://www.espoo.fi/en/services/waste-management-guidance-and-supervision;"The Environment and Building Control Department advises and supervises businesses, operators and residents in matters relating to waste and waste management. 

The advise and supervision may concern, for example, the sorting of waste or the storage and processing of toxic waste. The Environment and Building Control Department can be informed about litter and defects in the sorting of waste or the storage and processing of toxic waste. 

See the HSY website for further information about waste management, sorting and recycling.";The Environment and Building Control Department advises and supervises businesses, operators and residents in matters relating to waste and waste management.;Environmental protection services: https://www.espoo.fi/en/unit/66794;13.10.2025;The Environment and Building Control Department provides guidance and oversight to businesses, operators, and residents on waste management—including waste sorting, storage, and processing (including toxic waste)—and addresses litter and other waste-related defects.
Weighted-curriculum education;https://www.espoo.fi/en/childcare-and-education/basic-education/school-admissions/weighted-curriculum-education;Espoo offers versatile options for weighted-curriculum education.;Espoo offers versatile options for weighted-curriculum education.;N/A;13.10.2025;Espoo provides versatile options for weighted-curriculum education.
Wilma;https://www.espoo.fi/en/childcare-and-education/wilma;"Wilma is an electronic service used in Espoo to assist in the interaction between home and school. 

In Wilma, guardians can monitor the study attainments of pupils and students, view and clarify absences, send messages to teachers, read messages sent by teachers and follow notices sent by the school. 

Pupils and students use Wilma to select courses, monitor their attainments, read notices and communicate with teachers. 

Teachers enter evaluations and absences into Wilma and communicate with students and guardians.";Wilma is an electronic service used in Espoo to assist in the interaction between home and school.;Wilma login: https://espoo.inschool.fi/;13.10.2025;Wilma is an Espoo-based online platform that connects home and school, allowing guardians, pupils, and teachers to monitor progress and attendance, manage course selections, and communicate through messages and notices.
